,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
1488,LK08FLZ,Colham Road,2018-11-14 18:46:11+00:00,Violet Avenue,2018-11-14 18:47:55+00:00,525,yes,Evening,bus,10.02,0.88,0.25,10.01,no,yes,-0.26666666666666666
1539,LK08FMV,Colham Road,2018-11-14 19:34:46+00:00,Violet Avenue,2018-11-14 19:36:40+00:00,525,no,Evening,bus,10.08,0.89,0.55,9.83,no,no,-0.1
644,LK08FKV,Colham Road,2018-11-14 20:17:11+00:00,Violet Avenue,2018-11-14 20:19:32+00:00,525,no,Night,bus,9.98,0.91,0.59,9.08,no,no,0.35
1573,LK08FMX,Colham Road,2018-11-14 21:03:52+00:00,Violet Avenue,2018-11-14 21:05:13+00:00,525,no,Night,bus,9.53,0.93,0.35,7.61,no,yes,-0.65
1610,LK08FMX,Apple Tree Avenue,2018-11-14 22:07:03+00:00,Violet Avenue,2018-11-14 22:09:55+00:00,960,no,Night,bus,9.09,0.93,0.58,5.25,no,yes,0.8666666666666667
1636,LK08FMX,Colham Road,2018-11-14 22:40:50+00:00,Violet Avenue,2018-11-14 22:42:15+00:00,525,no,Night,bus,7.14,0.84,0.76,10.01,no,yes,-0.5833333333333334
2617,LK16DDY,Apple Tree Avenue,2018-11-14 23:18:37+00:00,Violet Avenue,2018-11-14 23:21:55+00:00,960,no,Night,bus,10.07,0.96,0.79,3.85,no,no,1.3
2668,LK16DDY,Colham Road,2018-11-15 00:03:13+00:00,Violet Avenue,2018-11-15 00:04:29+00:00,525,no,Night,bus,10.16,0.99,0.97,4.15,no,yes,-0.7333333333333333
3491,LK65EAP,Colham Road,2018-11-15 10:27:34+00:00,Violet Avenue,2018-11-15 10:29:21+00:00,525,no,Morning,bus,13.28,0.88,0.87,9.5,no,yes,-0.21666666666666667
1242,LK08FLE,Apple Tree Avenue,2018-11-15 11:25:33+00:00,Violet Avenue,2018-11-15 11:28:50+00:00,960,no,Morning,bus,13.77,0.87,0.91,8.87,no,yes,1.2833333333333334
3451,LK65EAP,Colham Road,2018-11-15 12:27:14+00:00,Violet Avenue,2018-11-15 12:29:04+00:00,525,no,Afternoon,bus,13.88,0.88,0.95,8.24,no,yes,-0.16666666666666666
3387,LK65EAM,Colham Road,2018-11-15 15:44:47+00:00,Violet Avenue,2018-11-15 15:47:46+00:00,525,no,Afternoon,bus,13.8,0.89,0.69,8.45,no,yes,0.9833333333333333
3695,SN09CGF,Apple Tree Avenue,2018-11-15 16:42:39+00:00,Violet Avenue,2018-11-15 16:46:24+00:00,960,yes,Afternoon,bus,13.21,0.92,0.89,8.11,no,no,1.75
3717,SN09CGF,Colham Road,2018-11-15 17:35:52+00:00,Violet Avenue,2018-11-15 17:37:54+00:00,525,yes,Evening,bus,12.78,0.92,0.89,7.35,no,yes,0.03333333333333333
3937,YX10BFA,Apple Tree Avenue,2018-11-15 18:20:56+00:00,Violet Avenue,2018-11-15 18:24:27+00:00,960,yes,Evening,bus,12.49,0.92,0.89,6.44,no,yes,1.5166666666666666
1960,LK09EKU,Colham Road,2018-11-15 19:00:47+00:00,Violet Avenue,2018-11-15 19:01:41+00:00,525,yes,Evening,bus,12.05,0.93,0.88,5.44,no,yes,-1.1
2079,LK16DDJ,Apple Tree Avenue,2018-11-15 21:43:43+00:00,Violet Avenue,2018-11-15 21:46:24+00:00,960,no,Night,bus,11.46,0.96,1.0,3.52,no,no,0.6833333333333333
1263,LK08FLF,Colham Road,2018-11-16 12:42:09+00:00,Violet Avenue,2018-11-16 12:43:17+00:00,525,no,Afternoon,bus,10.29,0.98,0.98,4.91,no,yes,-0.8666666666666667
2108,LK16DDL,Apple Tree Avenue,2018-11-16 13:41:52+00:00,Violet Avenue,2018-11-16 13:45:41+00:00,960,no,Afternoon,bus,10.04,0.96,0.94,4.59,no,yes,1.8166666666666667
4138,YX10BFF,Colham Road,2018-11-17 14:40:07+00:00,Violet Avenue,2018-11-17 14:42:04+00:00,525,no,Afternoon,bus,11.0,0.68,0.89,10.01,yes,yes,-0.05
2015,LK16DDJ,Apple Tree Avenue,2018-11-17 17:38:13+00:00,Violet Avenue,2018-11-17 17:43:56+00:00,960,no,Evening,bus,4.87,0.9,0.83,10.01,yes,no,3.716666666666667
905,LK08FLD,Apple Tree Avenue,2018-11-17 19:24:03+00:00,Violet Avenue,2018-11-17 19:27:09+00:00,960,no,Evening,bus,11.99,0.94,0.85,8.02,yes,yes,1.1
591,LK08FKV,Colham Road,2018-11-17 20:03:13+00:00,Violet Avenue,2018-11-17 20:04:27+00:00,525,no,Night,bus,9.26,0.81,0.51,10.01,yes,yes,-0.7666666666666667
628,LK08FKV,Apple Tree Avenue,2018-11-17 21:01:03+00:00,Violet Avenue,2018-11-17 21:04:01+00:00,960,no,Evening,bus,6.91,0.8,0.43,10.01,yes,yes,0.9666666666666667
2958,LK16DEU,Colham Road,2018-11-17 21:24:44+00:00,Violet Avenue,2018-11-17 21:26:07+00:00,525,no,Night,bus,7.26,0.71,0.41,10.01,yes,yes,-0.6166666666666667
4432,YX10BFM,Colham Road,2018-11-18 14:58:51+00:00,Violet Avenue,2018-11-18 15:00:01+00:00,525,no,Afternoon,bus,12.09,0.91,0.75,10.01,yes,yes,-0.8333333333333334
3023,LK16DFA,Colham Road,2018-11-18 16:17:41+00:00,Violet Avenue,2018-11-18 16:19:26+00:00,525,no,Afternoon,bus,12.71,0.81,0.45,10.01,yes,yes,-0.25
3054,LK16DFA,Apple Tree Avenue,2018-11-18 17:25:24+00:00,Violet Avenue,2018-11-18 17:28:43+00:00,960,no,Afternoon,bus,12.07,0.84,0.43,10.01,yes,no,1.3166666666666667
782,LK08FKW,Colham Road,2018-11-18 18:40:48+00:00,Violet Avenue,2018-11-18 18:43:04+00:00,525,no,Evening,bus,8.33,0.97,0.9,6.32,yes,yes,0.26666666666666666
4463,YX10BFM,Colham Road,2018-11-18 18:57:31+00:00,Violet Avenue,2018-11-18 18:59:06+00:00,525,no,Evening,bus,12.05,0.82,0.63,10.01,yes,yes,-0.4166666666666667
4562,YX10BFM,Colham Road,2018-11-18 20:44:28+00:00,Violet Avenue,2018-11-18 20:45:18+00:00,525,no,Night,bus,7.98,0.91,0.89,10.01,yes,yes,-1.1666666666666667
4539,YX10BFM,Milburn Drive,2018-11-18 21:43:43+00:00,Violet Avenue,2018-11-18 21:47:32+00:00,1410,no,Night,bus,7.44,0.91,0.79,10.01,yes,yes,1.8166666666666667
4680,YX10BFN,Apple Tree Avenue,2018-11-19 11:39:49+00:00,Violet Avenue,2018-11-19 11:43:44+00:00,960,no,Morning,bus,7.69,0.77,0.73,10.01,no,no,1.9166666666666667
5169,LK16DEU,Apple Tree Avenue,2018-11-19 14:07:55+00:00,Violet Avenue,2018-11-19 14:10:41+00:00,960,no,Afternoon,bus,8.01,0.72,0.48,10.01,no,no,0.7666666666666667
2200,LK16DDN,Colham Road,2018-11-19 15:38:35+00:00,Violet Avenue,2018-11-19 15:40:50+00:00,525,no,Afternoon,bus,7.19,0.75,0.36,10.01,no,no,0.25
4273,YX10BFK,Colham Road,2018-11-19 16:37:17+00:00,Violet Avenue,2018-11-19 16:38:50+00:00,525,yes,Afternoon,bus,6.71,0.77,0.89,10.01,no,no,-0.45
1001,LK08FLD,Apple Tree Avenue,2018-11-19 17:47:37+00:00,Violet Avenue,2018-11-19 17:52:04+00:00,960,yes,Evening,bus,6.01,0.81,0.57,9.8,no,no,2.45
1020,LK08FLD,Colham Road,2018-11-19 18:36:05+00:00,Violet Avenue,2018-11-19 18:38:20+00:00,525,yes,Evening,bus,5.43,0.84,0.64,9.91,no,yes,0.25
970,LK08FLD,Apple Tree Avenue,2018-11-19 19:50:28+00:00,Violet Avenue,2018-11-19 19:53:24+00:00,960,no,Evening,bus,5.03,0.87,0.7,9.85,no,no,0.9333333333333333
2902,LK16DEU,Apple Tree Avenue,2018-11-21 12:34:39+00:00,Violet Avenue,2018-11-21 12:36:38+00:00,960,no,Afternoon,bus,7.31,0.7,0.43,10.01,no,no,-0.016666666666666666
