,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
3776,SN09CGG,Berberis Walk,2018-11-13 18:45:38+00:00,Harmondsworth Road,2018-11-13 18:46:29+00:00,325,yes,Evening,bus,10.91,0.82,0.89,10.01,no,no,-0.15
1507,LK08FLZ,Harmondsworth Lane,2018-11-13 22:51:39+00:00,Harmondsworth Road,2018-11-13 22:53:17+00:00,1075,no,Night,bus,10.08,0.88,0.42,10.01,no,no,0.6333333333333333
811,LK08FLD,Harmondsworth Lane,2018-11-14 15:35:49+00:00,Harmondsworth Road,2018-11-14 15:37:35+00:00,1075,no,Afternoon,bus,13.29,0.69,0.75,10.01,no,yes,0.7666666666666667
2745,LK16DDZ,Berberis Walk,2018-11-14 18:03:50+00:00,Harmondsworth Road,2018-11-14 18:05:00+00:00,325,yes,Evening,bus,10.47,0.86,0.19,10.01,no,yes,0.16666666666666666
1500,LK08FLZ,Berberis Walk,2018-11-14 19:05:44+00:00,Harmondsworth Road,2018-11-14 19:06:34+00:00,325,yes,Evening,bus,9.97,0.89,0.32,9.96,no,yes,-0.16666666666666666
1553,LK08FMV,Berberis Walk,2018-11-14 19:57:00+00:00,Harmondsworth Road,2018-11-14 19:57:41+00:00,325,no,Evening,bus,10.18,0.9,0.71,9.7,no,no,-0.31666666666666665
657,LK08FKV,Laurel Lane Primary School,2018-11-14 20:33:49+00:00,Harmondsworth Road,2018-11-14 20:35:06+00:00,650,no,Night,bus,9.85,0.92,0.49,8.53,no,no,0.2833333333333333
1585,LK08FMX,Berberis Walk,2018-11-14 21:19:53+00:00,Harmondsworth Road,2018-11-14 21:20:21+00:00,325,no,Night,bus,9.39,0.93,0.41,6.98,no,yes,-0.5333333333333333
1597,LK08FMX,Harmondsworth Lane,2018-11-14 21:50:54+00:00,Harmondsworth Road,2018-11-14 21:53:03+00:00,1075,no,Night,bus,9.01,0.93,0.54,5.78,no,yes,1.15
2603,LK16DDY,Harmondsworth Lane,2018-11-14 23:05:55+00:00,Harmondsworth Road,2018-11-14 23:08:05+00:00,1075,no,Night,bus,10.09,0.95,0.73,3.73,no,no,1.1666666666666667
3504,LK65EAP,Berberis Walk,2018-11-15 10:48:04+00:00,Harmondsworth Road,2018-11-15 10:48:46+00:00,325,no,Morning,bus,13.59,0.87,0.86,9.46,no,yes,-0.3
1227,LK08FLE,Harmondsworth Lane,2018-11-15 11:03:57+00:00,Harmondsworth Road,2018-11-15 11:06:14+00:00,1075,no,Morning,bus,13.73,0.87,0.87,9.32,no,no,1.2833333333333334
