,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
5689,436,Rayners Lane Underground Station,2018-12-04 13:13:51+00:00,Eastcote Underground Station,2018-12-04 13:16:22+00:00,1840,no,Afternoon,tube,7.32,0.8,1.0,10.01,no,no,-2.4833333333333334
5979,440,Rayners Lane Underground Station,2018-12-04 13:28:53+00:00,Eastcote Underground Station,2018-12-04 13:30:54+00:00,1840,no,Afternoon,tube,11.15,0.85,0.74,9.57,no,no,-2.9833333333333334
5699,436,Ruislip Manor Underground Station,2018-12-04 13:47:57+00:00,Eastcote Underground Station,2018-12-04 13:50:28+00:00,1140,no,Afternoon,tube,7.77,0.77,1.0,10.01,no,yes,-2.4833333333333334
241,446,Rayners Lane Underground Station,2018-12-04 14:13:31+00:00,Eastcote Underground Station,2018-12-04 14:15:32+00:00,1840,no,Afternoon,tube,7.71,0.77,0.9,10.01,no,no,-2.9833333333333334
251,446,Ruislip Manor Underground Station,2018-12-04 14:47:37+00:00,Eastcote Underground Station,2018-12-04 14:49:07+00:00,1140,no,Afternoon,tube,7.22,0.8,0.69,10.01,no,yes,-3.5
489,423,Rayners Lane Underground Station,2018-12-04 16:51:57+00:00,Eastcote Underground Station,2018-12-04 16:54:27+00:00,1840,yes,Afternoon,tube,6.82,0.82,0.44,10.01,no,no,-2.5
499,423,Ruislip Manor Underground Station,2018-12-04 17:24:34+00:00,Eastcote Underground Station,2018-12-04 17:26:35+00:00,1140,yes,Afternoon,tube,6.98,0.81,0.44,10.01,no,yes,-2.9833333333333334
2637,403,Rayners Lane Underground Station,2018-12-04 18:38:18+00:00,Eastcote Underground Station,2018-12-04 18:40:17+00:00,1840,yes,Evening,tube,7.12,0.81,0.68,10.01,no,no,-3.0166666666666666
2645,403,Ruislip Manor Underground Station,2018-12-04 19:06:23+00:00,Eastcote Underground Station,2018-12-04 19:07:54+00:00,1140,yes,Evening,tube,7.16,0.8,0.75,10.01,no,no,-3.4833333333333334
458,462,Rayners Lane Underground Station,2018-12-04 21:08:43+00:00,Eastcote Underground Station,2018-12-04 21:11:13+00:00,1840,no,Night,tube,5.84,0.88,0.73,10.01,no,yes,-2.5
468,462,Ruislip Manor Underground Station,2018-12-04 21:37:18+00:00,Eastcote Underground Station,2018-12-04 21:39:17+00:00,1140,no,Night,tube,5.88,0.86,0.7,10.01,no,no,-3.0166666666666666
