,vehicle_id,origin,time_at_origin,next_stop,arrival_time_at_next_Stop,distance,peak,time_of_day,mode,temp,humidity,cloudCover,visibility,weekend,prediction_correct,status
2240,LK16DDN,Yiewsley High Street,2018-11-13 13:53:05+00:00,West Drayton Station,2018-11-13 13:54:11+00:00,420,yes,Afternoon,bus,13.13,0.66,0.44,10.01,no,yes,-0.9
3832,YX09FLB,Ferrers Avenue,2018-11-13 16:24:04+00:00,West Drayton Station,2018-11-13 16:26:14+00:00,405,yes,Afternoon,bus,11.56,0.71,0.89,10.01,no,yes,0.16666666666666666
3866,YX09FLB,Yiewsley High Street,2018-11-13 17:35:50+00:00,West Drayton Station,2018-11-13 17:37:44+00:00,420,no,Evening,bus,10.87,0.78,0.89,10.01,no,no,-0.1
3767,SN09CGG,Yiewsley High Street,2018-11-13 18:32:30+00:00,West Drayton Station,2018-11-13 18:34:36+00:00,420,yes,Evening,bus,10.88,0.82,0.89,10.01,no,yes,0.1
4837,YX58DUA,Yiewsley High Street,2018-11-13 19:26:52+00:00,West Drayton Station,2018-11-13 19:28:16+00:00,420,no,Evening,bus,10.66,0.84,0.49,10.01,no,yes,-0.6
1515,LK08FLZ,Ferrers Avenue,2018-11-13 23:02:09+00:00,West Drayton Station,2018-11-13 23:03:29+00:00,405,no,Night,bus,10.1,0.88,0.43,10.01,no,yes,-0.6666666666666666
820,LK08FLD,Ferrers Avenue,2018-11-14 15:45:28+00:00,West Drayton Station,2018-11-14 15:46:28+00:00,405,no,Afternoon,bus,13.13,0.7,0.75,10.01,no,yes,-1.0
2698,LK16DDZ,Ferrers Avenue,2018-11-14 16:55:36+00:00,West Drayton Station,2018-11-14 16:57:37+00:00,405,no,Afternoon,bus,11.1,0.78,0.23,10.01,no,yes,0.016666666666666666
1493,LK08FLZ,Yiewsley High Street,2018-11-14 18:55:04+00:00,West Drayton Station,2018-11-14 18:57:08+00:00,420,yes,Evening,bus,9.96,0.88,0.27,10.01,no,yes,0.06666666666666667
1544,LK08FMV,Yiewsley High Street,2018-11-14 19:46:33+00:00,West Drayton Station,2018-11-14 19:48:24+00:00,420,no,Evening,bus,10.14,0.89,0.63,9.75,no,yes,-0.15
649,LK08FKV,Yiewsley High Street,2018-11-14 20:25:53+00:00,West Drayton Station,2018-11-14 20:27:35+00:00,420,no,Night,bus,9.93,0.91,0.54,8.82,no,yes,-0.3
1578,LK08FMX,Yiewsley High Street,2018-11-14 21:10:55+00:00,West Drayton Station,2018-11-14 21:12:20+00:00,420,no,Night,bus,9.47,0.93,0.38,7.31,no,yes,-0.5833333333333334
1605,LK08FMX,Ferrers Avenue,2018-11-14 21:59:58+00:00,West Drayton Station,2018-11-14 22:01:12+00:00,405,no,Night,bus,8.94,0.93,0.56,5.49,no,yes,-0.7666666666666667
2612,LK16DDY,Ferrers Avenue,2018-11-14 23:13:53+00:00,West Drayton Station,2018-11-14 23:15:03+00:00,405,no,Night,bus,10.08,0.95,0.77,3.8,no,no,-0.8333333333333334
2673,LK16DDY,Yiewsley High Street,2018-11-15 00:09:43+00:00,West Drayton Station,2018-11-15 00:11:30+00:00,420,no,Night,bus,10.32,0.99,0.96,4.02,no,yes,-0.21666666666666667
3496,LK65EAP,Yiewsley High Street,2018-11-15 10:37:35+00:00,West Drayton Station,2018-11-15 10:39:45+00:00,420,no,Morning,bus,13.48,0.87,0.86,9.5,no,yes,0.16666666666666666
1237,LK08FLE,Ferrers Avenue,2018-11-15 11:15:41+00:00,West Drayton Station,2018-11-15 11:17:03+00:00,405,no,Morning,bus,13.77,0.87,0.89,9.11,no,no,-0.6333333333333333
3456,LK65EAP,Yiewsley High Street,2018-11-15 12:38:02+00:00,West Drayton Station,2018-11-15 12:40:00+00:00,420,no,Afternoon,bus,14.02,0.88,0.94,8.27,no,no,-0.03333333333333333
3392,LK65EAM,Yiewsley High Street,2018-11-15 15:57:57+00:00,West Drayton Station,2018-11-15 16:00:31+00:00,420,no,Afternoon,bus,13.81,0.89,0.67,8.55,no,no,0.5666666666666667
3690,SN09CGF,Ferrers Avenue,2018-11-15 16:35:17+00:00,West Drayton Station,2018-11-15 16:37:02+00:00,405,yes,Afternoon,bus,13.34,0.91,0.89,8.21,no,yes,-0.25
3933,YX10BFA,Ferrers Avenue,2018-11-15 18:12:19+00:00,West Drayton Station,2018-11-15 18:14:00+00:00,405,yes,Evening,bus,12.62,0.91,0.89,6.68,no,yes,-0.31666666666666665
1965,LK09EKU,Yiewsley High Street,2018-11-15 19:08:07+00:00,West Drayton Station,2018-11-15 19:10:24+00:00,420,no,Evening,bus,12.03,0.93,0.9,5.36,no,yes,0.2833333333333333
2074,LK16DDJ,Ferrers Avenue,2018-11-15 21:38:05+00:00,West Drayton Station,2018-11-15 21:39:06+00:00,405,no,Night,bus,11.54,0.95,1.0,3.59,no,yes,-0.9833333333333333
1268,LK08FLF,Yiewsley High Street,2018-11-16 12:51:32+00:00,West Drayton Station,2018-11-16 12:53:08+00:00,420,no,Afternoon,bus,10.21,0.98,0.99,4.92,no,yes,-0.4
